Source,S_X,S_Y,S_Z,s_phi,s_eta,s_q,s_pt,s_d0,s_z0,Target,T_X,T_Y,T_Z,t_phi,t_eta,t_q,t_pt,t_d0,t_z0,weight
450,9.5671,-1.5941,7.9226,-0.1597,0.7792,1,72.0502,-0.0449,-0.4227,11,18.8862,-4.1516,-23.148,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,1
450,9.5671,-1.5941,7.9226,-0.1597,0.7792,1,72.0502,-0.0449,-0.4227,451,19.1501,-3.1608,16.2777,-0.1597,0.7792,1,72.0502,-0.0449,-0.4227,1
460,8.1809,5.4728,15.0236,0.6022,1.1816,1,90.4204,-0.118,0.493,461,16.2881,11.0232,29.5294,0.6022,1.1816,1,90.4204,-0.118,0.493,1
470,3.6514,-9.0206,-17.2321,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,181,7.7236,-17.9283,-5.0342,-1.1526,-0.2336,1,82.9136,-0.1953,-0.4328,1
470,3.6514,-9.0206,-17.2321,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,351,6.1028,-18.3652,27.5634,-1.2323,1.1559,1,52.9243,-0.3015,-0.1256,1
470,3.6514,-9.0206,-17.2321,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,371,8.9796,-17.5923,-73.7125,-1.0739,-2.0296,1,45.5045,-0.4422,0.1332,1
470,3.6514,-9.0206,-17.2321,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,471,7.3924,-18.0204,-34.1563,-1.182,-1.3192,-1,32.901,-0.0573,-0.334,1
480,-1.6092,-9.5741,10.0313,-1.74,0.8824,1,33.7624,0.0426,0.3085,41,-2.7009,-19.2888,7.037,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,1
480,-1.6092,-9.5741,10.0313,-1.74,0.8824,1,33.7624,0.0426,0.3085,481,-3.2886,-19.1146,19.733,-1.74,0.8824,1,33.7624,0.0426,0.3085,1
490,9.2595,-2.744,24.3111,-0.2833,1.6506,-1,97.0001,-0.0522,0.0797,11,18.8862,-4.1516,-23.148,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,1
490,9.2595,-2.744,24.3111,-0.2833,1.6506,-1,97.0001,-0.0522,0.0797,491,18.5421,-5.4287,48.5565,-0.2833,1.6506,-1,97.0001,-0.0522,0.0797,1
1,-0.4144,-19.8918,-12.6639,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,2,-0.693,-29.8162,-18.9948,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,1
1,-0.4144,-19.8918,-12.6639,-1.6049,-0.6008,-1,48.2712,0.2156,0.022,322,2.1283,-29.428,-86.2241,-1.4893,-1.7963,1,52.6559,-0.1795,0.2461,0.5
11,18.8862,-4.1516,-23.148,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,12,28.3284,-6.2305,-34.7727,-0.2104,-1.0175,1,44.7012,-0.0664,0.1016,1
21,-16.9658,-10.348,24.3688,-2.6051,1.043,1,95.3282,0.2467,-0.3234,22,-25.5574,-15.4219,36.7674,-2.6051,1.043,1,95.3282,0.2467,-0.3234,1
31,-13.3051,14.0084,20.9974,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,32,-20.0232,20.9636,31.5457,2.3359,0.9442,-1,96.1558,-0.1284,-0.0772,1
41,-2.7009,-19.2888,7.037,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,42,-3.9896,-28.92,10.7715,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,1
41,-2.7009,-19.2888,7.037,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,442,-0.9843,-29.7392,62.51,-1.6112,1.4815,1,90.8681,0.273,0.4382,0.5
41,-2.7009,-19.2888,7.037,-1.7008,0.3754,1,95.0248,-0.1536,-0.4481,482,-5.0017,-28.6598,29.4452,-1.74,0.8824,1,33.7624,0.0426,0.3085,0.5
51,-7.8453,-17.8979,-8.2793,-1.9757,-0.4247,1,38.7031,-0.1027,0.2707,52,-11.7602,-26.8499,-12.5544,-1.9757,-0.4247,1,38.7031,-0.1027,0.2707,1
51,-7.8453,-17.8979,-8.2793,-1.9757,-0.4247,1,38.7031,-0.1027,0.2707,252,-9.2588,-27.5231,-56.453,-1.8959,-1.423,1,41.0979,0.1369,0.2991,0.5
51,-7.8453,-17.8979,-8.2793,-1.9757,-0.4247,1,38.7031,-0.1027,0.2707,392,-10.6983,-27.1369,-25.1929,-1.9599,-0.7832,-1,81.4056,0.3342,0.0599,0.5
61,-9.0627,17.5739,-2.1941,2.0232,-0.1301,-1,87.7568,0.4422,0.3841,62,-13.3962,26.4156,-3.4783,2.0232,-0.1301,-1,87.7568,0.4422,0.3841,1
71,-0.8751,19.7604,-12.9258,1.6236,-0.5962,-1,53.674,-0.2113,-0.422,72,-1.4483,29.6079,-19.1617,1.6236,-0.5962,-1,53.674,-0.2113,-0.422,1
81,-11.5042,-15.8045,-25.5588,-2.1919,-1.0923,1,53.9956,-0.1172,0.299,82,-17.2416,-23.7337,-38.5056,-2.1919,-1.0923,1,53.9956,-0.1172,0.299,1
91,-18.7829,4.5277,3.2828,2.8781,0.1689,-1,79.7089,0.493,0.0055,92,-28.1154,7.0098,4.9215,2.8781,0.1689,-1,79.7089,0.493,0.0055,1
101,-17.676,8.6967,2.6375,2.6946,0.1218,1,50.0725,-0.1572,0.232,102,-26.5132,12.9949,3.8375,2.6946,0.1218,1,50.0725,-0.1572,0.232,1
111,-5.5702,18.5051,73.2232,1.8562,2.0357,-1,64.5824,0.101,0.4918,112,-8.3327,27.7702,109.6107,1.8562,2.0357,-1,64.5824,0.101,0.4918,1
121,2.6619,-19.2858,10.9085,-1.417,0.5183,1,51.781,-0.2816,0.3608,122,4.0984,-28.8989,16.1751,-1.417,0.5183,1,51.781,-0.2816,0.3608,1
121,2.6619,-19.2858,10.9085,-1.417,0.5183,1,51.781,-0.2816,0.3608,132,2.7295,-29.2693,66.6696,-1.4872,1.5616,1,37.5942,0.4109,-0.3033,0.5
131,1.9835,-19.471,44.2812,-1.4872,1.5616,1,37.5942,0.4109,-0.3033,122,4.0984,-28.8989,16.1751,-1.417,0.5183,1,51.781,-0.2816,0.3608,0.5
131,1.9835,-19.471,44.2812,-1.4872,1.5616,1,37.5942,0.4109,-0.3033,132,2.7295,-29.2693,66.6696,-1.4872,1.5616,1,37.5942,0.4109,-0.3033,1
141,18.2028,6.7124,-49.1674,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,142,27.2464,10.2708,-73.5844,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,1
141,18.2028,6.7124,-49.1674,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,362,27.7336,8.4479,-14.6211,0.3006,-0.4885,1,85.4959,-0.0864,0.1114,0.5
141,18.2028,6.7124,-49.1674,0.3705,-1.6518,-1,64.2611,-0.3674,-0.431,422,27.8381,8.0533,-8.3805,0.2818,-0.2833,1,78.3917,0.0566,-0.0618,0.5
