x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
-91.1758,-33.1577,-37.0333,6,10,T6,-2.8064,-0.3739,-1,46.9184,0.1542,0.0964,69
7.0677,6.1555,8.2993,1,1,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,70
14.4674,12.9381,17.3131,1,2,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,71
21.3875,19.2534,25.7259,1,3,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,72
28.8165,26.0038,34.7397,1,4,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,73
35.764,32.289,43.1526,1,5,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,74
43.2224,39.0069,52.1664,1,6,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,75
50.1971,45.2619,60.5793,1,7,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,76
57.6846,51.9473,69.5931,1,8,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,77
64.6865,58.1719,78.006,1,9,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,78
72.203,64.8247,87.0198,1,10,T7,0.7451,0.8074,1,51.9197,-0.2582,-0.1136,79
9.9353,-0.6012,-21.5586,11,1,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,80
19.4569,-1.5198,-41.9073,11,2,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,81
29.3568,-2.501,-63.0699,11,3,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,82
39.0638,-3.4891,-83.8256,11,4,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,83
48.7681,-4.5026,-104.5813,11,5,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,84
58.4698,-5.5415,-125.337,11,6,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,85
68.1687,-6.6058,-146.0927,11,7,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,86
78.0549,-7.7171,-167.2553,11,8,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,87
87.558,-8.8106,-187.604,11,9,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,88
97.4382,-9.9737,-208.7667,11,10,T8,-0.0922,-1.4991,1,43.3337,0.3297,-0.3959,89
2.5885,-9.2857,-21.792,9,1,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,90
4.7236,-18.6755,-43.1016,9,2,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,91
6.8444,-28.0686,-64.4113,9,3,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,92
8.9911,-37.6457,-86.1308,9,4,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,93
11.0828,-47.0453,-107.4404,9,5,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,94
13.1601,-56.4481,-128.7501,9,6,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,95
15.223,-65.854,-150.0598,9,7,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,96
17.3108,-75.4441,-171.7793,9,8,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,97
19.3446,-84.8564,-193.0889,9,9,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,98
21.3641,-94.2718,-214.3986,9,10,T9,-1.3449,-1.535,1,73.1874,0.4505,-0.4823,99
9.7044,1.1831,-14.6678,0,1,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,100
19.4301,2.1445,-29.7692,0,2,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,101
29.1542,3.1222,-44.8707,0,3,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,102
38.8767,4.116,-59.9721,0,4,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,103
48.5975,5.1259,-75.0736,0,5,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,104
58.3166,6.1521,-90.175,0,6,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,105
68.2769,7.2206,-105.654,0,7,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,106
77.9925,8.2795,-120.7555,0,8,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,107
87.7063,9.3545,-135.8569,0,9,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,108
97.1755,10.4182,-150.5809,0,10,T10,0.096,-1.2196,-1,68.3452,0.2389,0.4337,109
6.4219,7.0495,-2.5639,1,1,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,110
12.7859,14.7113,-5.3523,1,2,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,111
18.8614,22.0498,-8.0195,1,3,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,112
24.9253,29.3979,-10.6866,1,4,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,113
31.2524,37.0902,-13.475,1,5,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,114
37.5669,44.793,-16.2634,1,6,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,115
43.5948,52.1705,-18.9306,1,7,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,116
49.6112,59.5576,-21.5977,1,8,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,117
55.6158,66.9542,-24.2649,1,9,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,118
61.8809,74.6972,-27.0533,1,10,T11,0.8753,-0.2764,-1,70.2033,-0.4204,0.1032,119
9.5705,2.4598,-7.6419,0,1,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,120
18.4358,4.8238,-14.8893,0,2,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,121
27.987,7.3549,-22.6942,0,3,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,122
37.5422,9.8708,-30.4991,0,4,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,123
46.7599,12.2824,-38.0253,0,5,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,124
55.9813,14.6798,-45.5514,0,6,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,125
65.5482,17.151,-53.3563,0,7,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,126
74.7771,19.5195,-60.8825,0,8,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,127
84.0096,21.8738,-68.4086,0,9,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,128
93.5879,24.3003,-76.2135,0,10,T12,0.2629,-0.7248,1,72.0282,-0.1043,0.163,129
4.853,8.6729,31.4527,2,1,T13,1.0551,1.8786,-1,64.6437,0.0466,-0.3064,130
