x,y,z,N_side,N_layer,t_label,phi,eta,q,pt,d0,z0,n_label
18.0647,7.7603,-41.2082,0,2,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,71
26.8405,11.7377,-61.5243,0,3,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,72
35.7982,15.7807,-82.2466,0,4,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,73
44.7621,19.8096,-102.9689,0,5,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,74
53.5565,23.7458,-123.2849,0,6,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,75
62.533,27.7468,-144.0073,0,7,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,76
71.5158,31.7336,-164.7296,0,8,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,77
80.3285,35.6285,-185.0456,0,9,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,78
89.5002,39.6648,-206.1743,0,10,T7,0.4295,-1.4912,1,72.6166,-0.4351,0.2364,79
-4.1104,-8.8133,33.2084,8,1,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,80
-8.3024,-17.7276,66.8733,8,2,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,81
-12.4771,-26.65,100.5383,8,3,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,82
-16.6346,-35.5804,134.2033,8,4,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,83
-20.7749,-44.5189,167.8682,8,5,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,84
-24.7923,-53.2359,200.67,8,6,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,85
-28.8985,-62.19,234.335,8,7,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,86
-32.9873,-71.1521,267.9999,8,8,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,87
-37.0588,-80.1221,301.6649,8,9,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,88
-41.113,-89.1,335.3298,8,10,T8,-2.0132,1.9428,-1,59.3234,0.0495,-0.025,89
-9.7156,1.3592,2.9595,5,1,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,90
-19.4498,2.5644,6.2417,5,2,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,91
-29.1816,3.7883,9.5239,5,3,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,92
-38.4881,4.9767,12.6633,5,4,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,93
-48.2152,6.2375,15.9455,5,5,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,94
-57.9399,7.517,19.2276,5,6,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,95
-67.6621,8.8153,22.5098,5,7,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,96
-77.3818,10.1324,25.792,5,8,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,97
-86.6765,11.4098,28.9314,5,9,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,98
-96.8134,12.823,32.3563,5,10,T9,3.0213,0.3287,1,59.0582,-0.174,-0.3226,99
-4.3774,-8.7586,2.9405,8,1,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,100
-9.0988,-17.8168,6.4248,8,2,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,101
-13.595,-26.5124,9.7639,8,3,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,102
-18.0634,-35.2223,13.103,8,4,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,103
-22.5037,-43.9466,16.4421,8,5,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,104
-26.9161,-52.685,19.7812,8,6,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,105
-31.4903,-61.8185,23.2655,8,7,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,106
-35.6564,-70.2042,26.4594,8,8,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,107
-40.1719,-79.3668,29.9437,8,9,T10,-2.0562,0.3348,-1,35.476,0.1988,-0.3986,108
